pass,lambda,K,psnr,ssim,score
1,0.8,0.0293559853524414,22.28143934923999,0.4467093468571514,-0.8666822947472507
1,0.8,0.04308869380063767,24.63910374597946,0.5910911821327414,-0.5431603466133261
1,0.8,0.0632455532033676,27.29968791582836,0.7384319406055083,-0.1984197469261391
1,0.8,0.09283177667225556,27.97842684959555,0.758637405004941,-0.1396642611501716
1,0.8,0.1362584138115923,27.56029366547422,0.7542196207170812,-0.1636821908837174
1,0.8,0.2,26.40003171461032,0.7444243276454904,-0.2526274277938622
2,0.0894427190999916,0.04308869380063767,27.65302333873812,0.8103345152913215,-0.09254312799676026
2,0.0894427190999916,0.05220314431365072,28.31871946011071,0.842254371492297,-0.01233528725149717
2,0.0894427190999916,0.0632455532033676,28.18872218553634,0.8388781013092493,-0.02569783601566256
2,0.0894427190999916,0.07662373699114575,27.64303044372532,0.8271997512420582,-0.08204427087633162
2,0.0894427190999916,0.09283177667225556,26.82098877078748,0.8108612046106904,-0.1664481301811379
2,0.1288652515183958,0.04308869380063767,27.52175256106072,0.8011195543298656,-0.1113410772423387
2,0.1288652515183958,0.05220314431365072,28.31615631750958,0.8402206849718412,-0.01309970272277727
2,0.1288652515183958,0.0632455532033676,28.29900838818279,0.8400681178591956,-0.01477895193156061
2,0.1288652515183958,0.07662373699114575,27.83739949964149,0.8303343224252525,-0.06243142529010579
2,0.1288652515183958,0.09283177667225556,27.09019347756769,0.8161017695900665,-0.1388587462385042
2,0.1856635533445112,0.04308869380063767,27.29966922876989,0.7851891376518302,-0.1438224677370893
2,0.1856635533445112,0.05220314431365072,28.26156267341646,0.8344542494311261,-0.02198104854617312
2,0.1856635533445112,0.0632455532033676,28.40038179525994,0.8388703717446699,-0.007233401387964534
2,0.1856635533445112,0.07662373699114575,28.05646519037344,0.8315793656597323,-0.04171269207877176
2,0.1856635533445112,0.09283177667225556,27.41589497992837,0.8199345085468545,-0.1067287050930509
2,0.2674961219905688,0.04308869380063767,26.93468995875191,0.7586983711878224,-0.1980210640405702
2,0.2674961219905688,0.05220314431365072,28.1007753322234,0.8215054019268403,-0.04719882510402008
2,0.2674961219905688,0.0632455532033676,28.44475543013086,0.8325670541331482,-0.01570311926700863
2,0.2674961219905688,0.07662373699114575,28.26035487827844,0.8283611761482657,-0.02869534002677679
2,0.2674961219905688,0.09283177667225556,27.76720407098878,0.8197363936076753,-0.0753599987828709
2,0.3853969935995983,0.04308869380063767,26.3716569609949,0.7174986737755378,-0.2825069354636985
2,0.3853969935995983,0.05220314431365072,27.75651738982725,0.7963923119814073,-0.09901190849462935
2,0.3853969935995983,0.0632455532033676,28.3464377590105,0.8170867743764874,-0.04119433905447058
2,0.3853969935995983,0.07662373699114575,28.36712111531386,0.8170627680567104,-0.04080673877877496
2,0.3853969935995983,0.09283177667225556,28.06811691635721,0.8118640826024629,-0.06072180402940386
3,0.1288652515183958,0.05220314431365072,28.31615631750958,0.8402206849718412,-0.01309970272277727
3,0.1288652515183958,0.05745969666707329,28.38896474348647,0.8425488318891629,-0.005456447825942312
3,0.1288652515183958,0.0632455532033676,28.29900838818279,0.8400681178591956,-0.01477895193156061
3,0.1288652515183958,0.0696140117685682,28.10698852738379,0.8357303958517183,-0.03473221456212458
3,0.1288652515183958,0.07662373699114575,27.83739949964149,0.8303343224252525,-0.06243142529010579
3,0.154678959459713,0.05220314431365072,28.29813896120408,0.8379792039532754,-0.0160405080586537
3,0.154678959459713,0.05745969666707329,28.41002916689142,0.8415676711974159,-0.003730601684616893
3,0.154678959459713,0.0632455532033676,28.35301201000057,0.8399059932192904,-0.009889160156652184
3,0.154678959459713,0.0696140117685682,28.18891921761278,0.8361528038916511,-0.02696873167141898
3,0.154678959459713,0.07662373699114575,27.94550133466286,0.831326775132004,-0.05192166086247646
3,0.1856635533445112,0.05220314431365072,28.26156267341646,0.8344542494311261,-0.02198104854617312
3,0.1856635533445112,0.05745969666707329,28.41830919958693,0.8395490079142068,-0.005381577328478846
3,0.1856635533445112,0.0632455532033676,28.40038179525994,0.8388703717446699,-0.007233401387964534
3,0.1856635533445112,0.0696140117685682,28.26897654069407,0.8357759539248509,-0.02022565838396382
3,0.1856635533445112,0.07662373699114575,28.05646519037344,0.8315793656597323,-0.04171269207877176
3,0.2228548418021153,0.05220314431365072,28.19885644148137,0.8291617101534625,-0.03196738046740774
3,0.2228548418021153,0.05745969666707329,28.40632116052796,0.8360780786542508,-0.01085149833632067
3,0.2228548418021153,0.0632455532033676,28.43414736343032,0.8365816472814873,-0.009444604459646448
3,0.2228548418021153,0.0696140117685682,28.34083360989522,0.834241751455384,-0.01655562054403218
3,0.2228548418021153,0.07662373699114575,28.16434203288791,0.8307339102085149,-0.0331301674196641
3,0.2674961219905688,0.05220314431365072,28.1007753322234,0.8215054019268403,-0.04719882510402008
3,0.2674961219905688,0.05745969666707329,28.36451304432022,0.8306442467879499,-0.02030587574691528
3,0.2674961219905688,0.0632455532033676,28.44475543013086,0.8325670541331482,-0.01570311926700863
3,0.2674961219905688,0.0696140117685682,28.39577185647447,0.8311228996146454,-0.01860248825848369
3,0.2674961219905688,0.07662373699114575,28.26035487827844,0.8283611761482657,-0.02869534002677679
